#,Exercise / Activity Name,Primary Category,Tracking Type,Equipment Required,Default Tracking Metrics
30,Barbell Deadlift,Back / Legs,Rep-Based,Barbell,"Sets, Reps, Weight (kg)"
31,Barbell Sumo Deadlift,Back / Legs,Rep-Based,Barbell,"Sets, Reps, Weight (kg)"
32,Trap Bar Deadlift,Back / Legs,Rep-Based,Trap Bar,"Sets, Reps, Weight (kg)"
33,Dumbbell Deadlift,Back / Legs,Rep-Based,Dumbbells,"Sets, Reps, Weight (kg)"
34,Barbell Shrug,Back / Shoulders,Rep-Based,Barbell,"Sets, Reps, Weight (kg)"
35,Dumbbell Shrugs,Back / Shoulders,Rep-Based,Dumbbells,"Sets, Reps, Weight (kg)"
36,Dumbbell Shoulder Press,Shoulders,Rep-Based,Dumbbells,"Sets, Reps, Weight (kg)"
37,Dumbbell Lateral Raise,Shoulders,Rep-Based,Dumbbells,"Sets, Reps, Weight (kg)"
38,Dumbbell Front Raise,Shoulders,Rep-Based,Dumbbells,"Sets, Reps, Weight (kg)"
39,High Cable Rear Delt Fly,Shoulders,Rep-Based,Cable Machine,"Sets, Reps, Weight (kg)"
40,Smith Machine Shoulder Press,Shoulders,Rep-Based,Smith Machine,"Sets, Reps, Weight (kg)"
41,Barbell Upright Row,Shoulders,Rep-Based,Barbell,"Sets, Reps, Weight (kg)"
42,Bent-Over Lateral Raise,Shoulders,Rep-Based,Dumbbells,"Sets, Reps, Weight (kg)"
43,Cable One-Arm Lateral Raise,Shoulders,Rep-Based,Cable Machine,"Sets, Reps, Weight (kg)"
44,Dumbbell Push Press,Shoulders,Rep-Based,Dumbbells,"Sets, Reps, Weight (kg)"
45,Barbell Push Press,Shoulders,Rep-Based,Barbell,"Sets, Reps, Weight (kg)"
46,Single-Arm Cable Front Raise,Shoulders,Rep-Based,Cable Machine,"Sets, Reps, Weight (kg)"
47,Barbell Front Raise,Shoulders,Rep-Based,Barbell,"Sets, Reps, Weight (kg)"
48,Seated Barbell Shoulder Press,Shoulders,Rep-Based,"Barbell, Bench","Sets, Reps, Weight (kg)"
49,Seated Behind the Neck Barbell Shoulder Press,Shoulders,Rep-Based,"Barbell, Bench","Sets, Reps, Weight (kg)"
50,Standing Barbell Shoulder Press,Shoulders,Rep-Based,Barbell,"Sets, Reps, Weight (kg)"
51,Standing Behind the Neck Barbell Shoulder Press,Shoulders,Rep-Based,Barbell,"Sets, Reps, Weight (kg)"
52,Alternate Dumbbell Front Raise Neutral Grip,Shoulders,Rep-Based,Dumbbells,"Sets, Reps, Weight (kg)"
53,One-Arm Low-Pulley Front Raise Neutral Grip,Shoulders,Rep-Based,Cable Machine,"Sets, Reps, Weight (kg)"
54,Two-Handed Dumbbell Front Raise,Shoulders,Rep-Based,Dumbbell,"Sets, Reps, Weight (kg)"
55,Alternating Dumbbell Curl,Biceps,Rep-Based,Dumbbells,"Sets, Reps, Weight (kg)"
56,Rope Cable Curl,Biceps,Rep-Based,Cable Machine,"Sets, Reps, Weight (kg)"
57,EZ Barbell Curl,Biceps,Rep-Based,EZ Bar,"Sets, Reps, Weight (kg)"
58,EZ Barbell Preacher Curl,Biceps,Rep-Based,"EZ Bar, Preacher Bench","Sets, Reps, Weight (kg)"
59,Hammer Curl,Biceps,Rep-Based,Dumbbells,"Sets, Reps, Weight (kg)"
60,Dumbbell Concentration Curl,Biceps,Rep-Based,Dumbbell,"Sets, Reps, Weight (kg)"
61,Single-Arm Low Pulley Cable Curl,Biceps,Rep-Based,Cable Machine,"Sets, Reps, Weight (kg)"
62,Straight Bar Low Pulley Cable Curl,Biceps,Rep-Based,Cable Machine,"Sets, Reps, Weight (kg)"
63,Standing High Pulley Cable Curl,Biceps,Rep-Based,Cable Machine,"Sets, Reps, Weight (kg)"
64,Seated Barbell Wrist Curl,Forearms,Rep-Based,"Barbell, Bench","Sets, Reps, Weight (kg)"
65,Seated Barbell Wrist Extension,Forearms,Rep-Based,"Barbell, Bench","Sets, Reps, Weight (kg)"
66,Reverse Barbell Curl,Forearms / Biceps,Rep-Based,Barbell,"Sets, Reps, Weight (kg)"
67,Lying Triceps Extension,Triceps,Rep-Based,"EZ Bar / Barbell, Bench","Sets, Reps, Weight (kg)"
68,Triceps Pushdown,Triceps,Rep-Based,Cable Machine,"Sets, Reps, Weight (kg)"
69,Rope Triceps Pushdown,Triceps,Rep-Based,Cable Machine,"Sets, Reps, Weight (kg)"
70,Dumbbell Triceps Extension,Triceps,Rep-Based,Dumbbell,"Sets, Reps, Weight (kg)"
71,Bench Dip,Triceps,Rep-Based,Bench,"Sets, Reps, Added Weight (kg)"
72,Crunch,Abdominals,Rep-Based,Bodyweight / Mat,"Sets, Reps"
73,Oblique Crunch,Abdominals,Rep-Based,Bodyweight / Mat,"Sets, Reps"
74,Crunch Machine,Abdominals,Rep-Based,Crunch Machine,"Sets, Reps, Weight (kg)"
75,Rope Ab Pulldown,Abdominals,Rep-Based,Cable Machine,"Sets, Reps, Weight (kg)"
76,Plank,Abdominals,Duration-Based,Bodyweight / Mat,"Duration (mm:ss), Sets"
77,Hanging Leg Raise,Abdominals,Rep-Based,Pull-Up Bar,"Sets, Reps"
78,Bent Knee Reverse Crunch,Abdominals,Rep-Based,Bodyweight / Mat,"Sets, Reps"
79,Long Arm Crunch,Abdominals,Rep-Based,Bodyweight / Mat,"Sets, Reps"
80,Plank Get Ups,Abdominals,Duration-Based,Bodyweight / Mat,Duration (mm:ss) / Reps
81,Squat,Legs,Rep-Based,Barbell,"Sets, Reps, Weight (kg)"
82,Hack Squat,Legs,Rep-Based,Hack Squat Machine,"Sets, Reps, Weight (kg)"
83,Front Squat,Legs,Rep-Based,Barbell,"Sets, Reps, Weight (kg)"
84,Wall Sit,Legs,Duration-Based,Bodyweight / Wall,"Duration (mm:ss), Sets"
85,Bodyweight Glute Bridge,Legs / Glutes,Rep-Based,Bodyweight / Mat,"Sets, Reps"
86,Seated Hip Abduction Machine,Legs / Glutes,Rep-Based,Hip Abduction Machine,"Sets, Reps, Weight (kg)"
87,Leg Press,Legs,Rep-Based,Leg Press Machine,"Sets, Reps, Weight (kg)"
88,Leg Extension,Legs,Rep-Based,Leg Extension Machine,"Sets, Reps, Weight (kg)"
89,Lying Leg Curl,Legs,Rep-Based,Leg Curl Machine,"Sets, Reps, Weight (kg)"
90,Dumbbell Romanian Deadlift,Legs,Rep-Based,Dumbbells,"Sets, Reps, Weight (kg)"
91,Medicine Ball Deadlift,Legs,Rep-Based,Medicine Ball,"Sets, Reps, Weight (kg)"
92,Single Leg Bodyweight Deadlift,Legs,Rep-Based,Bodyweight,"Sets, Reps"
93,Seated Calf Raise,Calves,Rep-Based,Seated Calf Machine,"Sets, Reps, Weight (kg)"
94,Standing Calf Raise,Calves,Rep-Based,Standing Calf Machine / Dumbbell,"Sets, Reps, Weight (kg)"
95,Rowing Machine,Cardio / Full Body,Duration-Based,Rowing Ergometer,"Duration (mm:ss), Distance (m/km), Pace"
96,Treadmill Running / Walking,Cardio / Legs,Duration-Based,Treadmill,"Duration (mm:ss), Distance (km), Speed, Incline"
97,Stair Master / Steppers,Cardio / Legs,Duration-Based,Stair Climber,"Duration (mm:ss), Steps / Floors"
98,Outdoor Walking / Running,Cardio / Legs,Duration-Based,Bodyweight / Outdoor,"Duration (mm:ss), Distance (km)"
99,Standing Hamstring Stretch,Flexibility / Legs,Duration-Based,Bodyweight / Mat,"Duration (mm:ss) per leg, Sets"
100,Cobra Stretch,Flexibility / Core & Back,Duration-Based,Bodyweight / Mat,"Duration (mm:ss), Sets"
101,Child's Pose,Flexibility / Back & Shoulders,Duration-Based,Bodyweight / Mat,"Duration (mm:ss), Sets"
102,Quad Stretch (Standing),Flexibility / Legs,Duration-Based,Bodyweight,"Duration (mm:ss) per leg, Sets"
103,Doorway Chest Stretch,Flexibility / Chest,Duration-Based,Doorway / Wall,"Duration (mm:ss), Sets"
104,Cross-Body Shoulder Stretch,Flexibility / Shoulders,Duration-Based,Bodyweight,"Duration (mm:ss) per arm, Sets"
105,Hip Flexor Lunge Stretch,Flexibility / Hips,Duration-Based,Bodyweight / Mat,"Duration (mm:ss) per side, Sets"
106,Dynamic Warm-Up Routine,Flexibility / Full Body,Duration-Based,Bodyweight,Duration (mm:ss)
107,Basketball,Sports / Cardio,Duration-Based,Basketball & Court,"Duration (mm:ss), Active Calories, Avg HR"
108,Soccer / Football,Sports / Cardio,Duration-Based,Soccer Ball & Pitch,"Duration (mm:ss), Distance (km), Active Calories"
109,Tennis / Padel,Sports / Agility,Duration-Based,"Racket, Ball & Court","Duration (mm:ss), Active Calories, Sets Played"
110,Swimming (Laps),Sports / Full Body,Duration-Based,Pool,"Duration (mm:ss), Laps / Distance (m), Stroke Type"
111,Cycling (Road / Mountain),Sports / Cardio,Duration-Based,Bicycle & Helmet,"Duration (mm:ss), Distance (km), Avg Speed"
112,Volleyball,Sports / Agility,Duration-Based,Volleyball & Net,"Duration (mm:ss), Active Calories"
113,Badminton,Sports / Agility,Duration-Based,"Racket, Shuttlecock & Net","Duration (mm:ss), Active Calories"
114,Martial Arts / Boxing,Sports / Full Body,Duration-Based,Gloves / Mat / Heavy Bag,"Duration (mm:ss), Rounds, Active Calories"
